Abkuerzung Betriebspunkt;Bezeichnung Betriebspunkt;Abkuerzung Betriebspunkt Strecke;Bezeichnung Betriebspunkt Strecke;LINIE;Kilometrierung des Betriebspunktes;LINIENNAME;VERWALTUNG;E;N;geopos;BPUIC;Didok Nummer;Name Haltestelle;lod
ASKO;Amsteg Kabelstollen Ost;ASKO;Amsteg Kabelstollen Ost;5002;-0.14456;Amsteg Kabelstollen;SBB CFF;2696097.858;1181211.0;1181211.00111,2696097.86065;8518490;18490;Amsteg Kabelstollen Ost;http://lod.opentransportdata.swiss/didok/8518490
ASSW;Amsteg Kabelstollen West;ASSW;Amsteg Kabelstollen West;5002;1.88409;Amsteg Kabelstollen;SBB CFF;2694392.293;1180227.165;1180227.16111,2694392.29065;8518491;18491;Amsteg Kabelstollen West;http://lod.opentransportdata.swiss/didok/8518491
BAA;Baar;BAA;Baar;660;26.60834;Thalwil - Zug - Fluhmuhle;SBB CFF;2682191.228;1227725.122;1227725.12113,2682191.23062;8502206;2206;Baar;http://lod.opentransportdata.swiss/didok/8502206
BAL;Balerna;BAL;Balerna;600;203.53433;Immensee - Bellinzona - Chiasso;SBB CFF;2721687.132;1078448.626;1078448.63105,2721687.1307;8505306;5306;Balerna;http://lod.opentransportdata.swiss/didok/8505306
BAZ;Bazenheid;BAZ;Bazenheid;853;6.92195;Wil Sud - Wattwil - Uznach;SBB CFF;2723048.391;1252312.799;1252312.80113,2723048.39065;8506205;6205;Bazenheid;http://lod.opentransportdata.swiss/didok/8506205
BEL;Bellinzona;BEL;Bellinzona;600;150.89101;Immensee - Bellinzona - Chiasso;SBB CFF;2722802.787;1117241.402;1117241.40108,2722802.79069;8505213;5213;Bellinzona;http://lod.opentransportdata.swiss/didok/8505213
BELL;Bellach;BELL;Bellach;410;76.68243;Olten - Solothurn - Biel/Bienne;SBB CFF;2605242.437;1228662.369;1228662.37115,2605242.44056;8500205;205;Bellach;http://lod.opentransportdata.swiss/didok/8500205
BEZ;Beznau (Agl);BEZ;Beznau (Agl);702;35.64741;Turgi - Koblenz - Waldshut;SBB CFF;2661213.001;1268107.077;1268107.08115,2661213.00059;8503541;3541;Beznau (Agl);http://lod.opentransportdata.swiss/didok/8503541
BF;Belfaux CFF;BF;Belfaux CFF;253;44.44635;Payerne Est - Fribourg Nord;SBB CFF;2574632.215;1185139.78;1185139.78114,2574632.22054;8504139;4139;Belfaux CFF;http://lod.opentransportdata.swiss/didok/8504139
BG;Brugg AG;BG;Brugg AG;710;31.26561;Zurich HB - Brugg AG;SBB CFF;2658054.322;1259183.737;1259183.74115,2658054.32059;8500309;309;Brugg AG;http://lod.opentransportdata.swiss/didok/8500309
BGN;Brugg AG Nord (Abzw);BGN;Brugg AG Nord (Abzw);648;32.46007;Brugg Sud - Brugg Nord (VL);SBB CFF;2657219.801;1259253.855;1259253.86115,2657219.80059;8500341;341;Brugg AG Nord (Abzw);http://lod.opentransportdata.swiss/didok/8500341
BIHW;Biel/Bienne IW;BIRB;Biel/Bienne RB;267;97.196;Biel Produktion Ost - Biel Madretsch;SBB CFF;2586520.394;1221150.596;1221150.60116,2586520.39055;8515002;15002;Biel/Bienne IW;http://lod.opentransportdata.swiss/didok/8515002
BIO;Biel/Bienne Ost;BI;Biel/Bienne;410;97.63034;Olten - Solothurn - Biel/Bienne;SBB CFF;2586391.131;1220646.806;1220646.81115,2586391.13055;8515307;15307;Biel/Bienne Ost;http://lod.opentransportdata.swiss/didok/8515307
BN;Bern;BN;Bern;220;0.10552;Bern - Neuchatel Est (bif);SBB CFF;2600037.945;1199749.812;1199749.81114,2600037.95056;8507000;7000;Bern;http://lod.opentransportdata.swiss/didok/8507000
BNBS;Bern Bumpliz Sud;BNBS;Bern Bumpliz Sud;250;92.99537;Lausanne Est - Bern;SBB CFF;2596695.699;1198489.557;1198489.56114,2596695.70056;8504106;4106;Bern Bümpliz Süd;http://lod.opentransportdata.swiss/didok/8504106
BO;Bodio TI;BO;Bodio TI;600;125.49506;Immensee - Bellinzona - Chiasso;SBB CFF;2712928.734;1137598.607;1137598.61109,2712928.73067;8505207;5207;Bodio TI;http://lod.opentransportdata.swiss/didok/8505207
BOCS;Bodio cunicolo di aggira. sud;BOCS;Bodio cunicolo di aggira. sud;5005;0.0;Bodio cunicolo di aggiramento;SBB CFF;2714570.389;1136764.361;1136764.36109,2714570.39068;8518496;18496;Bodio cunicolo di aggira sud;http://lod.opentransportdata.swiss/didok/8518496
BOS;Boswil-Bunzen;BOS;Boswil-Bunzen;653;77.7545;Gexi Ost - Rotkreuz - Immensee West;SBB CFF;2666294.854;1239736.742;1239736.74114,2666294.85061;8502214;2214;Boswil-Bünzen;http://lod.opentransportdata.swiss/didok/8502214
BOU;Bouveret;BOU;Bouveret;131;22.91132;Les Paluds - St-Gingolph (Frontiere);SBB CFF;2554967.198;1137329.754;1137329.75112,2554967.20054;8501426;1426;Bouveret;http://lod.opentransportdata.swiss/didok/8501426
BRF;Birrfeld;LUPF;Lupfig;647;4.41308;Brugg - Hendschiken Nord;SBB CFF;2658615.323;1255052.987;1255052.99115,2658615.3206;8502210;2210;Birrfeld;http://lod.opentransportdata.swiss/didok/8502210
BRTU;Brig Tunnel;BRTU;Brig Tunnel;100;147.14982;Lausanne - Simplon Tunnel I - Iselle;SBB CFF;2643766.775;1130510.42;1130510.4211,2643766.77062;8501610;1610;Brig Tunnel;http://lod.opentransportdata.swiss/didok/8501610
BRU;Brunnen;BRU;Brunnen;600;20.5245;Immensee - Bellinzona - Chiasso;SBB CFF;2689093.523;1206010.966;1206010.97112,2689093.52064;8505007;5007;Brunnen;http://lod.opentransportdata.swiss/didok/8505007
BS;Basel SBB;BS;Basel SBB;510;142.20294;Mulhouse-Ville - Basel SBB;SBB CFF;2611362.891;1266309.826;1266309.83116,2611362.89055;8500010;10;Basel SBB;http://lod.opentransportdata.swiss/didok/8500010
BSNK;Basel SBB RB Nordkopf (Abzw);BSRB;Basel SBB RB;521;3.49478;Umfahrung Sud: Basel SBB RB I - Muttenz;SBB CFF;2614587.121;1265453.649;1265453.65117,2614587.12056;8500044;44;Basel SBB RB Nordkopf (Abzw);http://lod.opentransportdata.swiss/didok/8500044
BSNK;Basel SBB RB Nordkopf (Abzw);BSRB;Basel SBB RB;525;0.0145;Basel SBB RB - Basel Auhafen;SBB CFF;2614587.121;1265453.649;1265453.65117,2614587.12056;8500044;44;Basel SBB RB Nordkopf (Abzw);http://lod.opentransportdata.swiss/didok/8500044
BSOS;Basel SBB RB II Ost (Abzw);BSRB;Basel SBB RB;529;7.02761;Basel SBB RB II - Schweizerhalle;SBB CFF;2617712.723;1263996.845;1263996.84117,2617712.72056;8515388;15388;Basel SBB RB II Ost (Abzw);http://lod.opentransportdata.swiss/didok/8515388
BSVL;Basel SBB GB VL;BSGB;Basel SBB GB;513;121.22952;Basel SBB GB Verbindungslinie;SBB CFF;2613100.115;1265369.81;1265369.81117,2613100.11056;8500047;47;Basel SBB GB VL;http://lod.opentransportdata.swiss/didok/8500047
BSW;Basel SBB West (Abzw);BS;Basel SBB;514;141.382;SNCF Verbindungslinie;SBB CFF;2610610.678;1266172.589;1266172.59116,2610610.68055;8515389;15389;Basel SBB West (Abzw);http://lod.opentransportdata.swiss/didok/8515389
BUC;Buckten;BUC;Buckten;503;28.815;Sissach - Laufelfingen - Olten;SBB CFF;2630883.119;1250988.798;1250988.80115,2630883.12057;8500034;34;Buckten;http://lod.opentransportdata.swiss/didok/8500034
BUHA;Buchhalde (Spw);BUHA;Buchhalde (Spw);700;48.09502;Brugg - Pratteln Ost;SBB CFF;2645864.835;1261198.361;1261198.36116,2645864.84058;8515166;15166;Buchhalde (Spw);http://lod.opentransportdata.swiss/didok/8515166
BWL;Birrwil;BWL;Birrwil;651;29.51503;Hubeli - Beinwil - Lenzburg;SBB CFF;2657521.485;1237718.954;1237718.95114,2657521.4806;8502033;2033;Birrwil;http://lod.opentransportdata.swiss/didok/8502033
BYE;Bussigny Est (bif);BY;Bussigny;200;6.33829;Renens VD Ouest - Vallorbe;SBB CFF;2532488.449;1155231.902;1155231.90114,2532488.45051;8515312;15312;Bussigny Est (bif);http://lod.opentransportdata.swiss/didok/8515312
BYE;Bussigny Est (bif);BY;Bussigny;206;6.33829;Renens VD Ouest - Bussigny Est;SBB CFF;2532488.449;1155231.902;1155231.90114,2532488.45051;8515312;15312;Bussigny Est (bif);http://lod.opentransportdata.swiss/didok/8515312
BYSC;Bussigny-Scheuchzer (bif);BY;Bussigny;169;14.50609;Lausanne-Triage sect. - Bussigny;SBB CFF;2532268.258;1155225.247;1155225.25114,2532268.26051;8515313;15313;Bussigny-Scheuchzer (bif);http://lod.opentransportdata.swiss/didok/8515313
BZN;Bischofszell Nord;BZN;Bischofszell Nord;852;6.78324;Sulgen - Gossau SG;SBB CFF;2735267.237;1262620.776;1262620.78113,2735267.24065;8506215;6215;Bischofszell Nord;http://lod.opentransportdata.swiss/didok/8506215
CAMO;Camorino (dira);CAMO;Camorino (dira);580;227.65367;CBT Est;SBB CFF;2719599.595;1112679.259;1112679.26107,2719599.59069;8515733;15733;Camorino (dira);http://lod.opentransportdata.swiss/didok/8515733
CAMO;Camorino (dira);CAMO;Camorino (dira);593;227.65367;Verbindungslinie CBT Est Camorino;SBB CFF;2719599.595;1112679.259;1112679.26107,2719599.59069;8515733;15733;Camorino (dira);http://lod.opentransportdata.swiss/didok/8515733
CAST;Castione-Arbedo;CAST;Castione-Arbedo;600;147.525;Immensee - Bellinzona - Chiasso;SBB CFF;2723662.151;1120315.449;1120315.45107,2723662.15069;8505212;5212;Castione-Arbedo;http://lod.opentransportdata.swiss/didok/8505212
CDM;Champ-du-Moulin;CDM;Champ-du-Moulin;219;13.64584;Auvernier - Les Verrieres frontiere;SBB CFF;2549488.417;1201195.917;1201195.92116,2549488.42052;8504217;4217;Champ-du-Moulin;http://lod.opentransportdata.swiss/didok/8504217
CDO;Cadenazzo Ovest (bif);CD;Cadenazzo;631;161.12861;Cadenazzo - Pino confine;SBB CFF;2714475.879;1112521.245;1112521.25107,2714475.88068;8515391;15391;Cadenazzo Ovest (bif);http://lod.opentransportdata.swiss/didok/8515391
CHAM;Cham;CHAM;Cham;660;43.57412;Thalwil - Zug - Fluhmuhle;SBB CFF;2677232.606;1225755.134;1225755.13114,2677232.61062;8502203;2203;Cham;http://lod.opentransportdata.swiss/didok/8502203
CHE;Chenens;CHE;Chenens;250;49.622;Lausanne Est - Bern;SBB CFF;2566515.858;1177652.068;1177652.07115,2566515.86054;8504025;4025;Chénens;http://lod.opentransportdata.swiss/didok/8504025
CHF;Chateauneuf-Conthey;CHF;Chateauneuf-Conthey;100;88.06912;Lausanne - Simplon Tunnel I - Iselle;SBB CFF;2589694.744;1118304.302;1118304.30111,2589694.74057;8501510;1510;Châteauneuf-Conthey;http://lod.opentransportdata.swiss/didok/8501510
CHHO;Geneve-Champel;CHHO;Geneve-Champel;152;68.986;St-Jean - Geneve-Eaux-Vives - Annemasse;SBB CFF;2500788.552;1116451.201;1116451.20113,2500788.55049;8516272;16272;Genève-Champel;http://lod.opentransportdata.swiss/didok/8516272
CHIB;Chiasso Ovest (bif);CHI;Chiasso;629;206.37929;Chiasso SM - Gruppo S - Chiasso;SBB CFF;2723418.254;1077043.041;1077043.04105,2723418.2507;8515392;15392;Chiasso Ovest (bif);http://lod.opentransportdata.swiss/didok/8515392
CHIB;Chiasso Ovest (bif);CHI;Chiasso;637;206.36805;Chiasso Smistamento - Chiasso;SBB CFF;2723418.254;1077043.041;1077043.04105,2723418.2507;8515392;15392;Chiasso Ovest (bif);http://lod.opentransportdata.swiss/didok/8515392
CHNN;Chambrelien Nord (bif);CHN;Chambrelien;223;10.2231;Neuchatel-Vauseyon - Chambrelien;SBB CFF;2552430.956;1202117.72;1202117.72116,2552430.96052;8515316;15316;Chambrelien Nord (bif);http://lod.opentransportdata.swiss/didok/8515316
CHP;Yverdon-Champ Pittet;CHP;Yverdon-Champ Pittet;252;1.78;Yverdon Est - Payerne;SBB CFF;2540717.258;1181514.036;1181514.04115,2540717.26051;8504144;4144;Yverdon-Champ Pittet;http://lod.opentransportdata.swiss/didok/8504144
CHRI;Chriesbach (Abzw);CHRI;Chriesbach (Abzw);740;91.3264;Rapperswil - Uster - Wallisellen Ost;SBB CFF;2688679.38;1251047.959;1251047.96114,2688679.38062;8503149;3149;Chriesbach (Abzw);http://lod.opentransportdata.swiss/didok/8503149
CHRI;Chriesbach (Abzw);CHRI;Chriesbach (Abzw);746;108.71403;Neugut Ost (Abzw) - Chriesbach (Abzw);SBB CFF;2688679.38;1251047.959;1251047.96114,2688679.38062;8503149;3149;Chriesbach (Abzw);http://lod.opentransportdata.swiss/didok/8503149
CHS;Cheyres;CHS;Cheyres;252;12.62074;Yverdon Est - Payerne;SBB CFF;2550224.032;1185295.704;1185295.70116,2550224.03052;8504131;4131;Cheyres;http://lod.opentransportdata.swiss/didok/8504131
CHSM;Chiasso Smistamento;CHSM;Chiasso Smistamento;639;53.36063;Monte Olimpino II - Chiasso Smistamento;SBB CFF;2721246.962;1077301.246;1077301.25106,2721246.9607;8505309;5309;Chiasso Smistamento;http://lod.opentransportdata.swiss/didok/8505309
CHSN;Chiasso Smistamento Nord (bif);CHSM;Chiasso Smistamento;638;204.52403;Balerna SM - Chiasso Smistamento;SBB CFF;2721646.467;1077852.59;1077852.59106,2721646.4707;8515394;15394;Chiasso Smistamento Nord (bif);http://lod.opentransportdata.swiss/didok/8515394
CHW;Chur West (Gleisende);CH;Chur;900;26.70952;Sargans Ost - Chur West (Gleisende);SBB CFF;2758455.069;1190928.376;1190928.38109,2758455.07069;8515439;15439;Chur West (Gleisende);http://lod.opentransportdata.swiss/didok/8515439
CLA;Claro;CLA;Claro;600;143.46906;Immensee - Bellinzona - Chiasso;SBB CFF;2721711.045;1123640.034;1123640.03107,2721711.05069;8505211;5211;Claro;http://lod.opentransportdata.swiss/didok/8505211
COL;Le Locle-Col-des-Roches;COL;Le Locle-Col-des-Roches;224;38.86171;Chambrelien Nord - Le Locle (Frontiere);SBB CFF;2545856.262;1211230.781;1211230.78116,2545856.26051;8504317;4317;Le Locle-Col-des-Roches;http://lod.opentransportdata.swiss/didok/8504317
CORF;Cornaux fin des voies;CORI;Cornaux industrie;216;2.0;Cornaux - Raffinerie - Juracime;SBB CFF;2568899.9632;1208925.4894;1208925.49116,2568899.96053;8516195;16195;Cornaux fin des voies;http://lod.opentransportdata.swiss/didok/8516195
CVT;Couvet CFF;CVT;Couvet CFF;219;26.04313;Auvernier - Les Verrieres frontiere;SBB CFF;2538725.296;1198013.848;1198013.85116,2538725.30051;8504214;4214;Couvet CFF;http://lod.opentransportdata.swiss/didok/8504214
DAG;Dagmersellen;DAG;Dagmersellen;500;55.8035;Basel SBB - Olten - Luzern;SBB CFF;2640933.829;1229765.613;1229765.61115,2640933.83059;8502004;2004;Dagmersellen;http://lod.opentransportdata.swiss/didok/8502004
DAY;Le Day;DAY;Le Day;200;43.27865;Renens VD Ouest - Vallorbe;SBB CFF;2520608.03;1174651.979;1174545.41116,2520642.0605;8501104;1104;Le Day;http://lod.opentransportdata.swiss/didok/8501104
DEN;Denges-Echandens;DEN;Denges-Echandens;150;8.3784;Lausanne - Geneve-Aeroport;SBB CFF;2531092.8129;1153487.6944;1153487.69115,2531092.81051;8501045;1045;Denges-Echandens;http://lod.opentransportdata.swiss/didok/8501045
DENA;Denges A (bif);DEN;Denges-Echandens;150;8.26747;Lausanne - Geneve-Aeroport;SBB CFF;2531193.53;1153533.643;1153533.64114,2531193.53051;8515322;15322;Denges A (bif);http://lod.opentransportdata.swiss/didok/8515322
DER;Derendingen;DER;Derendingen;415;77.25482;Wanzwil (Abzw) - Solothurn - Busswil;SBB CFF;2610871.476;1227961.334;1227961.33115,2610871.48056;8500226;226;Derendingen;http://lod.opentransportdata.swiss/didok/8500226
DEU;Les Deurres;DEU;Les Deurres;223;3.102;Neuchatel-Vauseyon - Chambrelien;SBB CFF;2558957.971;1203970.65;1203970.65116,2558957.97052;8504231;4231;Les Deurres;http://lod.opentransportdata.swiss/didok/8504231
DMT;Delemont;DMT;Delemont;226;84.6069;Sonceboz-Sombeval - Moutier - Delemont;SBB CFF;2593309.758;1245689.284;1245689.28116,2593309.76054;8500109;109;Delémont;http://lod.opentransportdata.swiss/didok/8500109
DMTE;Delemont Est;DMT;Delemont;230;84.965;Delemont Est - Basel SBB Ost;SBB CFF;2593657.948;1245771.822;1245771.82116,2593657.95054;8515324;15324;Delémont Est;http://lod.opentransportdata.swiss/didok/8515324
DOP;Dompierre;DOP;Dompierre;251;63.65763;Palezieux Est - Lyss Nord;SBB CFF;2565432.791;1189352.435;1189352.43115,2565432.79053;8504124;4124;Dompierre;http://lod.opentransportdata.swiss/didok/8504124
DOTU;Dottikon Umspannanlage;DOTU;Dottikon Umspannanlage;653;69.53517;Gexi Ost - Rotkreuz - Immensee West;SBB CFF;2661229.994;1246102.36;1246102.36115,2661229.9906;8502239;2239;Dottikon Umspannanlage;http://lod.opentransportdata.swiss/didok/8502239
DTF;Dietfurt;DTF;Dietfurt;853;14.61546;Wil Sud - Wattwil - Uznach;SBB CFF;2723899.546;1245038.219;1245038.22113,2723899.55065;8506202;6202;Dietfurt;http://lod.opentransportdata.swiss/didok/8506202
DTLS;Dietlikon Sud (Abzw);DTL;Dietlikon;745;109.73971;ZH Langstrasse - Dietlikon Sud (S-Bahn);SBB CFF;2688945.25;1252406.083;1252406.08114,2688945.25062;8515440;15440;Dietlikon Süd (Abzw);http://lod.opentransportdata.swiss/didok/8515440
EF;Effretikon;EF;Effretikon;751;16.82121;ZH Langstr. - Wallisellen - Winterthur;SBB CFF;2694165.311;1253527.158;1253527.16113,2694165.31062;8503305;3305;Effretikon;http://lod.opentransportdata.swiss/didok/8503305
EFG;Effingen;EFG;Effingen;699;42.45538;Neuer Bozbergtunnel;SBB CFF;2649906.054;1258630.995;1258631.00115,2649906.05059;8500307;307;Effingen;http://lod.opentransportdata.swiss/didok/8500307
EGL;Eglisau;EGL;Eglisau;701;22.24734;Eglisau - Koblenz - Stein Sackingen Ost;SBB CFF;2681106.759;1269631.163;1269631.16115,2681106.76061;8503402;3402;Eglisau;http://lod.opentransportdata.swiss/didok/8503402
EINF;Einfang (Abzw);EINF;Einfang (Abzw);708;6.32009;Zurich Altstetten - Einfang;SBB CFF;2677295.927;1250282.946;1250282.95114,2677295.93061;8503510;3510;Einfang (Abzw);http://lod.opentransportdata.swiss/didok/8503510
EMB;Embrach-Rorbas;EMB;Embrach-Rorbas;769;12.3183;Winterthur West - Bulach;SBB CFF;2686496.081;1263949.229;1263949.23115,2686496.08061;8506041;6041;Embrach-Rorbas;http://lod.opentransportdata.swiss/didok/8506041
ENT;Entlebuch;ENT;Entlebuch;460;66.36673;Gumligen Sud - Fluhmuhle;SBB CFF;2647444.073;1204925.213;1204925.21114,2647444.0706;8508213;8213;Entlebuch;http://lod.opentransportdata.swiss/didok/8508213
ESB;Eschenbach;ESB;Eschenbach;651;8.567;Hubeli - Beinwil - Lenzburg;SBB CFF;2667078.929;1220534.495;1220534.50113,2667078.93061;8502022;2022;Eschenbach;http://lod.opentransportdata.swiss/didok/8502022
EST;Estavayer-le-Lac;EST;Estavayer-le-Lac;252;18.07;Yverdon Est - Payerne;SBB CFF;2554564.678;1188324.236;1188324.24115,2554564.68052;8504132;4132;Estavayer-le-Lac;http://lod.opentransportdata.swiss/didok/8504132
ETOY;Etoy;ETOY;Etoy;150;19.34854;Lausanne - Geneve-Aeroport;SBB CFF;2522317.772;1147596.371;1147596.37114,2522317.7705;8501042;1042;Etoy;http://lod.opentransportdata.swiss/didok/8501042
EV;Evionnaz;EV;Evionnaz;100;57.85466;Lausanne - Simplon Tunnel I - Iselle;SBB CFF;2568092.404;1113171.261;1113171.26111,2568092.40055;8501404;1404;Evionnaz;http://lod.opentransportdata.swiss/didok/8501404
EWW;Etzwilen West (Abzw);EW;Etzwilen;821;31.55627;Oberwinterthur - Etzwilen West (Abzw);SBB CFF;2703415.022;1279787.347;1279787.35114,2703415.02062;8515443;15443;Etzwilen West (Abzw);http://lod.opentransportdata.swiss/didok/8515443
EZG;Etzgen;EZG;Etzgen;701;60.94359;Eglisau - Koblenz - Stein Sackingen Ost;SBB CFF;2650083.056;1269297.788;1269297.79115,2650083.06058;8500324;324;Etzgen;http://lod.opentransportdata.swiss/didok/8500324
FA;Faido;FA;Faido;600;106.03713;Immensee - Bellinzona - Chiasso;SBB CFF;2703819.654;1148866.822;1148866.8211,2703819.65066;8505204;5204;Faido;http://lod.opentransportdata.swiss/didok/8505204
FACE;Faido cunicolo di acc. est;FACE;Faido cunicolo di acc. est;5004;2.66836;Faido cunicolo di accesso;SBB CFF;2704977.025;1151048.178;1151048.18109,2704977.02067;8518495;18495;Faido cunicolo di acc est;http://lod.opentransportdata.swiss/didok/8518495
FACO;Faido cunicolo di acc. ovest;FACO;Faido cunicolo di acc. ovest;5004;-0.0788;Faido cunicolo di accesso;SBB CFF;2702876.359;1149288.054;1149288.0511,2702876.36066;8518494;18494;Faido cunicolo di acc ovest;http://lod.opentransportdata.swiss/didok/8518494
FCK;Frick;FCK;Frick;700;51.8468;Brugg - Pratteln Ost;SBB CFF;2643278.559;1262002.488;1262002.49116,2643278.56058;8500305;305;Frick;http://lod.opentransportdata.swiss/didok/8500305
FMS;Flums;FMS;Flums;890;9.7298;Sargans Ost - Ziegelbrucke;SBB CFF;2744938.988;1217942.392;1217942.39111,2744938.99068;8509413;9413;Flums;http://lod.opentransportdata.swiss/didok/8509413
FMUE;Fluhmuhle (Abzw);FMUE;Fluhmuhle (Abzw);660;64.00891;Thalwil - Zug - Fluhmuhle;SBB CFF;2664443.189;1212078.436;1212078.44113,2664443.19061;8505043;5043;Fluhmühle (Abzw);http://lod.opentransportdata.swiss/didok/8505043
FOU;Founex;FOU;Founex;150;45.63586;Lausanne - Geneve-Aeroport;SBB CFF;2504185.665;1131582.423;1131582.42114,2504185.66049;8501016;1016;Founex;http://lod.opentransportdata.swiss/didok/8501016
FRB;Freienbach SBB;FRB;Freienbach SBB;720;31.70887;ZH Langstrasse - Thalwil - Ziegelbrucke;SBB CFF;2699819.489;1229323.328;1229323.33113,2699819.49064;8503210;3210;Freienbach SBB;http://lod.opentransportdata.swiss/didok/8503210
FRE;Frenkendorf-Fullinsdorf;FRE;Frenkendorf-Fullinsdorf;500;12.19992;Basel SBB - Olten - Luzern;SBB CFF;2621133.464;1261228.39;1261228.39116,2621133.46056;8500022;22;Frenkendorf-Füllinsdorf;http://lod.opentransportdata.swiss/didok/8500022
FRNO;Fribourg Nord;FRNO;Fribourg Nord;250;66.99;Lausanne Est - Bern;SBB CFF;2578245.333;1184545.642;1184545.64114,2578245.33055;8515663;15663;Fribourg Nord;http://lod.opentransportdata.swiss/didok/8515663
GD;Arth-Goldau;GD;Arth-Goldau;600;8.86435;Immensee - Bellinzona - Chiasso;SBB CFF;2684404.807;1211487.521;1211487.52112,2684404.81063;8505004;5004;Arth-Goldau;http://lod.opentransportdata.swiss/didok/8505004
GDO;Arth-Goldau Ost (Abzw);GD;Arth-Goldau;600;9.31469;Immensee - Bellinzona - Chiasso;SBB CFF;2684853.904;1211451.985;1211451.98112,2684853.90063;8515397;15397;Arth-Goldau Ost (Abzw);http://lod.opentransportdata.swiss/didok/8515397
GELF;Gelfingen;GELF;Gelfingen;651;19.35953;Hubeli - Beinwil - Lenzburg;SBB CFF;2662586.415;1229509.457;1229509.46114,2662586.41061;8502026;2026;Gelfingen;http://lod.opentransportdata.swiss/didok/8502026
GELN;Gellert Nord (Abzw);GELL;Gellert;522;0.73784;Umfahrung Nord: Gellert - Pratteln;SBB CFF;2613296.639;1267360.18;1267360.18117,2613296.64056;8515399;15399;Gellert Nord (Abzw);http://lod.opentransportdata.swiss/didok/8515399
GER;Gerra (Gambarogno);GER;Gerra (Gambarogno);631;172.82863;Cadenazzo - Pino confine;SBB CFF;2704067.613;1108730.671;1108730.67107,2704067.61068;8505410;5410;Gerra (Gambarogno);http://lod.opentransportdata.swiss/didok/8505410
GEXI;Gexi;GEXI;Gexi;650;30.21054;Killwangen West - Lenzburg - Daniken Ost;SBB CFF;2656927.433;1249351.378;1249351.38114,2656927.4306;8502133;2133;Gexi;http://lod.opentransportdata.swiss/didok/8502133
GIBU;Gilly-Bursinel;GIBU;Gilly-Bursinel;150;29.70298;Lausanne - Geneve-Aeroport;SBB CFF;2512994.8864;1144377.0555;1144377.06115,2512994.8905;8501032;1032;Gilly-Bursinel;http://lod.opentransportdata.swiss/didok/8501032
GIDI;Giustizia (dira);GIDI;Giustizia (dira);595;164.01608;GBT Ost;SBB CFF;2718870.376;1131405.308;1131405.31108,2718870.38068;8515717;15717;Giustizia (dira);http://lod.opentransportdata.swiss/didok/8515717
GIUO;Giubiasco Ovest;GIU;Giubiasco;592;226.16896;Verbindungslinie CBT Ovest Camorino Sud;SBB CFF;2719914.216;1113994.893;1113994.89108,2719914.22069;8515975;15975;Giubiasco Ovest;http://lod.opentransportdata.swiss/didok/8515975
GIUS;Giubiasco Sud (bif);GIU;Giubiasco;630;154.35756;Giubiasco - Locarno;SBB CFF;2720610.772;1114594.572;1114594.57107,2720610.77069;8515402;15402;Giubiasco Sud (bif);http://lod.opentransportdata.swiss/didok/8515402
GIVO;Givisiez Ouest;GIV;Givisiez;255;4.45671;Givisiez - Murten;SBB CFF;2575658.841;1185116.939;1185116.94115,2575658.84054;8505943;5943;Givisiez Ouest;http://lod.opentransportdata.swiss/didok/8505943
GL;Glarus;GL;Glarus;736;68.60283;Ziegelbrucke Ost - Linthal Gleisende;SBB CFF;2724094.153;1211167.426;1211167.43111,2724094.15066;8503230;3230;Glarus;http://lod.opentransportdata.swiss/didok/8503230
GLAO;Gland Ouest;GLA;Gland;149;34.23;Gland Ballastiere;SBB CFF;2509822.679;1141285.782;1141285.78114,2509822.68049;8519355;19355;Gland Ouest;http://lod.opentransportdata.swiss/didok/8519355
GOLO;Goldach Ost;GOL;Goldach;880;67.0146;Sargans Ost - St.Gallen;SBB CFF;2753833.168;1260298.409;1260298.41112,2753833.17067;8518085;18085;Goldach Ost;http://lod.opentransportdata.swiss/didok/8518085
GRO;Grolley;GRO;Grolley;253;40.11814;Payerne Est - Fribourg Nord;SBB CFF;2571574.018;1186827.141;1186827.14115,2571574.02054;8504138;4138;Grolley;http://lod.opentransportdata.swiss/didok/8504138
GSS;Gossau SG;GSS;Gossau SG;850;90.1274;St.Gallen - Winterthur Nord;SBB CFF;2736927.398;1252807.191;1252807.19112,2736927.40066;8506210;6210;Gossau SG;http://lod.opentransportdata.swiss/didok/8506210
GTS;Gutsch (Abzw);GTS;Gutsch (Abzw);500;92.84626;Basel SBB - Olten - Luzern;SBB CFF;2665227.356;1211532.043;1211532.04113,2665227.36061;8505041;5041;Gütsch (Abzw);http://lod.opentransportdata.swiss/didok/8505041
GTS;Gutsch (Abzw);GTS;Gutsch (Abzw);570;2.21783;Gutsch - Kussnacht - Immensee;SBB CFF;2665227.356;1211532.043;1211532.04113,2665227.36061;8505041;5041;Gütsch (Abzw);http://lod.opentransportdata.swiss/didok/8505041
GUE;Gumligen;GUE;Gumligen;295;4.97;Bern Zytglogge - Worb Dorf;SBB CFF;2605092.291;1198138.796;1198138.80115,2605092.29057;8507003;7003;Gümligen;http://lod.opentransportdata.swiss/didok/8507003
GUES;Gumligen Sud (Abzw);GUES;Gumligen Sud (Abzw);290;115.36626;Bern Wylerfeld - Thun;SBB CFF;2606177.305;1197241.665;1197241.66114,2606177.30057;8515643;15643;Gümligen Süd (Abzw);http://lod.opentransportdata.swiss/didok/8515643
